Domain,Word,Definition,TLD
hanuha.nu,hanuhanu, ,nu
hanu.nu,hanunu,"steep, bent-over, stooped, round-shouldered; stooping. ",nu
hanup.au,hanupau,"a disease, perhaps pneumonia. ",au
h.ao,hao,"   • iron, 
   • general name for metal tools, 
   • a bit; 
   • brand, as on a horse. 
   • See sayings, wela₁.   ",ao
haoha.na,haohana,"scooping; handful. (Probably hao₃ + -hana, nominalizer.) ",na
haoh.ao,haohao, ,ao
haohao.na,haohaona, ,na
haoka.nu,haokanu,seedbed; to prepare a seedbed. ,nu
haoki.la,haokila,"to be sturdy as steel. lit., iron steel (Eng.). ",la
hao.ma,haoma,name of a fish (no data). ,ma
hao.na,haona,"handful, scoopful; receptacle, as a dipper for kava. ",na
ha.pa,hapa,"of mixed blood, person of mixed blood, as hapa Hawaiʻi, part Hawaiian. ",pa
hapahane.li,hapahaneli,"hundredth part, percentage. ",li
hapahap.ai,hapahapai,"   • to toss up, as a child; 
   • to heave or breathe heavily; 
   • to glorify, praise.    ",ai
hapai.na,hapaina,"carrying, lifting, carrier; pregnancy. ",na
hapako.lu,hapakolu,third; one third. ,lu
hapali.ma,hapalima,fifth; one fifth. ,ma
hapao.no,hapaono,one sixth. ,no
hapaw.ai,hapawai,"a shellfish, Theodoxus vespertinus. ",ai
hapawa.lu,hapawalu,one eighth; eighth part; a coin worth twelve and a half cents; a piece of silver money (Luka 15.8) . ,lu
ha.pe,hape,"incorrect, faulty, inaccurate; to break, transgress (Kep. 49). ",pe
hapu.ee,hapuee,a kind of fish. ,ee
h.au,hau,"a lowland tree (Hibiscus tiliaceus), found in many warm countries, some spreading horizontally over the ground forming impenetrable thickets, and some trained on trellises. The leaves are rounded and heart-shaped, the flowers cup-shaped, with five large petals that change through the day from yellow to dull-red. Formerly the light, tough wood served for outriggers of canoes, the bast for rope, the sap and flowers for medicine. (Neal 559–60). Of the two varieties of hau, a rare erect one (hau oheohe) was grown for its bast and a creeping one (hau) was planted for wind-breaks. (HP 196) ",au
ha.ua,haua,"a blow, stripe; to whip. ",ua
haue.ne,hauene,calcareous earth resembling chalk or plaster. ,ne
hauha.na,hauhana,"lashing, as of adze to handle; to lash. (hau₃ + -hana, nominalizer) ",na
hauh.au,hauhau, ,au
hauha.ua,hauhaua, ,ua
hauhauha.li,hauhauhali,"to carry to and from, as gossip. ",li
hauhauhi.li,hauhauhili, ,li
hauhau.na,hauhauna, ,na
hauhi.li,hauhili, ,li
haukali.ma,haukalima,"ice cream. lit., creamed (Eng.) ice. ",ma
haukamu.mu,haukamumu, ,mu
haukapi.la,haukapila,hospital. ,la
hauk.au,haukau,"choppy, as the sea. ",au
hauko.mo,haukomo,"a lua fighting stroke. lit., the blow enters... ",mo
haulala.pa,haulalapa,"to blaze, scorch, sear. ",pa
haula.na,haulana,"iceberg, floating ice. ",na
haula.ni,haulani,"   • to surge, as the sea; 
   • to plunge, as a canoe; 
   • to ply back and forth; 
   • restless, constantly on the move. 
   • to repeatedly travel speedily, as a boat or train...
   • fig., to dissipate.    ",ni
hau.li,hauli,"this word is used idiomatically with lele and hoʻolele, and may be related to mauli. ",li
hauma.lu,haumalu,quiet. ,lu
hauma.nu,haumanu, ,nu
haumanuma.nu,haumanumanu, ,nu
hau.na,hauna,"   • unpleasant odor, as of spoiling fish or meat, or volcanic sulphur; 
   • stench; tainted.      ",na
hauna.ma,haunama,a slightly offensive odor. ,ma
haun.one,haunone,name of a cold wind. ,one
hau.one,hauone,soft limestone. ,one
hau.pa,haupa,to eat heartily or voraciously. ,pa
haupale.mo,haupalemo,"a lua fighting stroke. lit., the drowned blow... ",mo
hauwe.ne,hauwene,"to cry, tease, nag, fret. ",ne
hea.na,heana,"corpse, especially of one slain in battle; victim, human sacrifice; carcass (Mat. 24.28) , remains. ",na
he.au,heau,"place where fishermen set a basket fish trap, as for hīnālea. ",au
hehe.na,hehena,"   • insane, raving mad, crazy, possessed; 
   • insanity, madness; 
   • lunatic, maniac.    ",na
hehi.na,hehina,"footrest; any place on which to step or tread; a stepping, treading. ",na
hehipuaha.la,hehipuahala,"rain name associated with Poʻo-kū, Kauaʻi. lit., stepping upon pandanus flowers. ",la
he.hu,hehu,"   • to uproot, dig up, 
   • put to flight, drive away, shoo,
   • evict.    ",hu
hei.au,heiau,"pre-Christian place of worship, shrine; some heiau were elaborately constructed stone platforms, others simple earth terraces. Many are preserved today. Several types are listed below. In (Isa. 15.2) , heiau is a high place of worship. ",au
hek.au,hekau,"   • anchor, stone anchor, to anchor, anchored
   • towline, tow
   • line for fastening boats;  make fast
   • warp
   • taut, stretched   ",au
he.ke,heke,"best, greatest, foremost. ",ke
hekehe.ke,hekeheke,plump. ,ke
hekiki.li,hekikili, ,li
heki.li,hekili,"thunder; to thunder. fig., passion, rage. ",li
he.la,hela,"redness of the eyelids; rawness, as of scraped skin; to be red or raw. ",la
helahe.la,helahela, ,la
hele.au,hele au,to go drifting along. ,au
heleeke.la,heleekela,"the planet Uranus, formerly called Hershel for its discoverer, Sir William Hershel, in 1781. ",la
hele.la,helela,herald. ,la
helemau.na,helemauna,"a rare native variety of dry-land taro, with dark purplish petioles and white corms; grown on Hawaiʻi. ",na
hele.na,helena,going. ,na
hele.ne,helene,"Greek, Grecian, Greece. ",ne
helepo.na,helepona,Hebron. ,na
heleu.ma,heleuma,"stone anchor, anchor. ",ma
hele.wiki,hele wiki,"quick step, quick time; to go fast. ",wiki
heliokalo.pe,heliokalope,"introduced, sweet-scented heliotrope (Heliotropium arborescens syn. H. corymbosum). ",pe
he.lu,helu,"arithmetic, score, reckoning, account; serial; volume (in a series); numbered. ",lu
hel.ua,helua, ,ua
heluha.na,heluhana,"factor, as in arithmetic. ",na
heluhe.lu,heluhelu,to scratch. ,lu
helu.na,heluna,"number, count, total sum, amount; grade or mark (evaluation). ",na
hemahe.ma,hemahema,"want, need, necessity; lacking, destitute (Oihk. 22.23) , needy. ",ma
he.mo,hemo, ,mo
hemohe.mo,hemohemo,"separation, loosening. ",mo
he.na,hena,buttocks; mons pubis; hollow of the thigh; nakedness. ,na
henahe.na,henahena, ,na
he.ne,hene,mons pubis. ,ne
henehe.ne,henehene,"to laugh at, ridicule, mock, tease, snicker, giggle; mockery, laughter. ",ne
he.no,heno, ,no
henohe.no,henoheno,"lovable, sweet. ",no
he.pa,hepa,"   • idiot, moron, imbecile; feebleminded, moronic.
   • partial paralysis of the vocal organs causing indistinct articulation;    ",pa
hepahe.pa,hepahepa, ,pa
hepeko.ma,hepekoma,week; seven years. ,ma
hepe.la,hepela,Hebrew. ,la
h.eu,heu,"   • down or fine hair, fuzz, fuzzy, downy; 
   • loose fibers on certain fruits or leaves, hairlike growths or spines on sugar cane stalks or cactus;
   • quicksilver or mercury on back of a mirror,  
   • to begin to grow, as a youth's beard or pubic hair; 
   • to sprout, of seedlings.   ",eu
heuh.eu,heuheu, ,eu
heumi.ki,heumiki,"beautiful, comely, attractive. ",ki
hiaa.la,hiaala,"same as the more common hiaʻā, indisposed to sleep, wakeful, sleepless... ",la
hia.na,hiana,"depression or hole, as under water. ",na
h.ie,hie,"attractive, distinguished, dignified, noble, becoming. ",ie
hieh.ie,hiehie,"redup. of hie, attractive, distinguished, dignified, noble, becoming...; superb. ",ie
hie.na,hiena,"kind of soft porous stone used to smooth and polish utensils; it is harder than the ʻana stone, which is used on wood. ",na
hihiaw.ai,hihiawai,"the swamp fern (Ceratopteris thalictroides), an edible, somewhat succulent fern, distributed through the tropics. It grows in mud or water, as around taro patches, in tufts about 30 cm high. The fronds are triangular and are finely divided into long, narrow parts. Young fronds are eaten with fresh-water shrimps. ",ai
hihihi.ki,hihihiki,"to come or go, of many people. ",ki
hihihi.na,hihihina,"redup. and intensifier of hina, to fall. ",na
hihi.ki,hihiki, ,ki
hihi.na,hihina, ,na
hih.io,hihio,"soft whistling sound, gust or draft of wind; to whistle. ",io
hika.ua,hikaua,"name of an unknown person, used something like so-and-so, usually followed by mā. ",ua
hi.ki,hiki,next. ,ki
hi.kia,hikia,"to aim carefully, as with stone, spear, or gun. ",kia
hikianakopi.li,hikianakopili,"spittle passed from a dying master, according to the belief that his knowledge was thereby handed on. ",li
hikihi.ki,hikihiki,"to come repeatedly, as voices. ",ki
hikikauelo.no,hikikauelono,name of a star. ,no
hikiliimakaounul.au,hikiliimakaounulau,"star name, perhaps morning star. ",au
hiki.moe,hikimoe,"west. lit., come to rest. ",moe
hikim.ua,hikimua,"progress, advance; to progress. ",ua
hiki.na,hikina,Orient. ,na
hikip.ua,hikipua,"to force one's way, as through a crowd or undergrowth. ",ua
hiko.ni,hikoni,"tattoo brand on the forehead of a kauā outcast, or on the forehead of the caught seducer of a high chief's wife. (see (Malo 70, figure 1)) ",ni
hik.ua,hikua,"to throw aimlessly, carelessly. ",ua
hi.la,hila, ,la
hilahi.la,hilahila, ,la
hila.la,hilala,"to reel, lean or tilt sideways. ",la
hi.li,hili,"to braid or plait, as a lei  or candlenuts; a braid, plaiting, string. ",li
hili.au,hiliau,in devious ways; to ramble; be indirect. ,au
hilihi.li,hilihili, ,li
hilih.ua,hilihua,to grope here and there. ,ua
hilik.au,hilikau,"mixed, snarled, entangled; to mix, snarl. ",au
hilik.ua,hilikua,"to lash against, whip. ",ua
hiline.hu,hilinehu, ,hu
hiliokalu.pe,hiliokalupe, ,pe
hi.lu,hilu,"various species of reef fishes of the genus Coris. The name hilu may be qualified by the terms ʻeleʻele, lauwili, melemele, moelola, pano (probably same as uli), pāniʻo, pilikoʻa (Paracirrhites forsteri, hawkfish), ʻula, uli. See saying, noʻenoʻe₂. ",lu
hiluhi.lu,hiluhilu,"elegant, beautiful. ",lu
hime.la,himela,"Himalayas. See song, hene₂. ",la
hi.na,hina,"italics, probably so called because italics slant. ",na
hinahi.na,hinahina,the silversword (Argyroxiphium sandwicense). ,na
hinaikamala.ma,hinaikamalama,"vague accounts (HM 214) mention this goddess as being born in the undersea land Kahikihonuakele (wet land Kahiki), and as floating on the sea and becoming a gourd bailer—Hinaikekā (Hina in the bailer) (KL. 235). In some stories she makes tapa in the moon (HM 220). She was also called Hinahanaakamalama (Hina foster-child of the moon), the name of Queen Emma's home in Nuʻu-anu Valley, Honolulu. lit., Hina in the moon. see ʻAikanaka₃; Hema. ",ma
hinala.ni,hinalani,name of a star. ,ni
hina.moe,hina moe,"to lie down to sleep; to lie low, as of smoke; to drop dead. ",moe
hina.na,hinana,"young of ʻoʻopu, a fish, formerly caught in nets and greatly relished.  See saying, pā ʻili. ",na
hin.ao,hinao,type of pāʻū (no data). ,ao
hinaonalaile.na,hinaonalailena, ,na
hi.ne,hine,"gaudy, showy, splendid. ",ne
hi.ni,hini,"weak, feeble, delicate. ",ni
hinihi.ni,hinihini,"indistinct, faint, as a voice. ",ni
hi.nu,hinu,"   • oil, grease, ointment; 
   • oily, greasy; 
   • smooth and polished, lustrous, slick.   ",nu
hin.ua,hinua, ,ua
hinuhi.nu,hinuhinu,"intensification of hinu,  smooth and polished, lustrous, slick
   • bright, shining, lustrous, 
   • glossy, 
   • glittering, as of polished stones or shells; 
   • splendid; splendor.    ",nu
h.io,hio,a sweep or gust of wind; to blow in gusts. ,io
hioh.io,hiohio,"to whistle softly; to blow softly, draw in the breath, as of one eating hot food. ",io
hiohio.na,hiohiona, ,na
hio.na,hiona,"leaning, slanting. ",na
hi.pa,hipa, ,pa
hipahi.pa,hipahipa, ,pa
hipopoka.mu,hipopokamu,hippopotamus. ,mu
hi.ua,hiua,"a game something like checkers, played on a board with five squares. ",ua
ho.ai,hoai,"joining, suture, joint. cf. hoa₂, and below. ",ai
hoakaka.la,hoakakala,bracelet of tusks of hog or dog. ,la
hoalau.na,hoalauna,"neighbor, close associate or friend. ",na
hoa.like,hoa like,companion or contemporary of equal status. ,like
hoa.moe,hoa moe,"sleeping companion, bedfellow. ",moe
hoa.na,hoana,"hone, whetstone, grindstone; to rub, grind. ",na
hoehoe.na,hoehoena, ,na
hoehoe.ne,hoehoene, ,ne
hoe.na,hoena,paddling. ,na
hoe.ne,hoene,"a soft sweet sound, as of song; to sound softly, rustle, sough, as the wind ",ne
hoha.ni,hohani, ,ni
hoho.la,hohola,"to spread out, unfold, unfurl, as tapa, mats, clouds, wings; to extend, stretch, diffuse. ",la
hoho.lu,hoholu, ,lu
hoho.ma,hohoma, ,ma
hoho.nu,hohonu,"deep, profound; depth, soundings. ",nu
hoho.pa,hohopa,"tall, thin. ",pa
hokahok.ai,hokahokai, ,ai
