hihi.na,hihina, ,na
hepahe.pa,hepahepa, ,pa
hieh.ie,hiehie,"redup. of hie, attractive, distinguished, dignified, noble, becoming...; superb. ",ie
henehe.ne,henehene,"to laugh at, ridicule, mock, tease, snicker, giggle; mockery, laughter. ",ne
hepeko.ma,hepekoma,week; seven years. ,ma
hemohe.mo,hemohemo,"separation, loosening. ",mo
hie.na,hiena,"kind of soft porous stone used to smooth and polish utensils; it is harder than the ʻana stone, which is used on wood. ",na
henahe.na,henahena, ,na
hia.na,hiana,"depression or hole, as under water. ",na
hihihi.na,hihihina,"redup. and intensifier of hina, to fall. ",na
Domain,Word,Definition,TLD
hiaa.la,hiaala,"same as the more common hiaʻā, indisposed to sleep, wakeful, sleepless... ",la
hepe.la,hepela,Hebrew. ,la
heuh.eu,heuheu, ,eu
hihi.na,hihina, ,na
hieh.ie,hiehie,"redup. of hie, attractive, distinguished, dignified, noble, becoming...; superb. ",ie
hie.na,hiena,"kind of soft porous stone used to smooth and polish utensils; it is harder than the ʻana stone, which is used on wood. ",na
hia.na,hiana,"depression or hole, as under water. ",na
hihiaw.ai,hihiawai,"the swamp fern (Ceratopteris thalictroides), an edible, somewhat succulent fern, distributed through the tropics. It grows in mud or water, as around taro patches, in tufts about 30 cm high. The fronds are triangular and are finely divided into long, narrow parts. Young fronds are eaten with fresh-water shrimps. ",ai
henahe.na,henahena, ,na
hihihi.na,hihihina,"redup. and intensifier of hina, to fall. ",na
hepahe.pa,hepahepa, ,pa
henehe.ne,henehene,"to laugh at, ridicule, mock, tease, snicker, giggle; mockery, laughter. ",ne
hepeko.ma,hepekoma,week; seven years. ,ma
henohe.no,henoheno,"lovable, sweet. ",no
hemohe.mo,hemohemo,"separation, loosening. ",mo
heumi.ki,heumiki,"beautiful, comely, attractive. ",ki
hihi.ki,hihiki, ,ki
hiki.moe,hikimoe,"west. lit., come to rest. ",moe
hiliokalu.pe,hiliokalupe, ,pe
hikianakopi.li,hikianakopili,"spittle passed from a dying master, according to the belief that his knowledge was thereby handed on. ",li
hilihi.li,hilihili, ,li
hilahi.la,hilahila, ,la
hila.la,hilala,"to reel, lean or tilt sideways. ",la
hikiliimakaounul.au,hikiliimakaounulau,"star name, perhaps morning star. ",au
hiki.na,hikina,Orient. ,na
hilih.ua,hilihua,to grope here and there. ,ua
hikip.ua,hikipua,"to force one's way, as through a crowd or undergrowth. ",ua
hilik.ua,hilikua,"to lash against, whip. ",ua
hili.au,hiliau,in devious ways; to ramble; be indirect. ,au
hilik.au,hilikau,"mixed, snarled, entangled; to mix, snarl. ",au
hika.ua,hikaua,"name of an unknown person, used something like so-and-so, usually followed by mā. ",ua
hiline.hu,hilinehu, ,hu
hikim.ua,hikimua,"progress, advance; to progress. ",ua
hikikauelo.no,hikikauelono,name of a star. ,no
hiko.ni,hikoni,"tattoo brand on the forehead of a kauā outcast, or on the forehead of the caught seducer of a high chief's wife. (see (Malo 70, figure 1)) ",ni
hikihi.ki,hikihiki,"to come repeatedly, as voices. ",ki
hinuhi.nu,hinuhinu,"intensification of hinu,  smooth and polished, lustrous, slick
   • bright, shining, lustrous, 
   • glossy, 
   • glittering, as of polished stones or shells; 
   • splendid; splendor.    ",nu
hina.na,hinana,"young of ʻoʻopu, a fish, formerly caught in nets and greatly relished.  See saying, pā ʻili. ",na
hinahi.na,hinahina,the silversword (Argyroxiphium sandwicense). ,na
hiluhi.lu,hiluhilu,"elegant, beautiful. ",lu
hime.la,himela,"Himalayas. See song, hene₂. ",la
hinaonalaile.na,hinaonalailena, ,na
hiohio.na,hiohiona, ,na
hipopoka.mu,hipopokamu,hippopotamus. ,mu
hin.ao,hinao,type of pāʻū (no data). ,ao
hio.na,hiona,"leaning, slanting. ",na
hin.ua,hinua, ,ua
hipahi.pa,hipahipa, ,pa
hinala.ni,hinalani,name of a star. ,ni
hinaikamala.ma,hinaikamalama,"vague accounts (HM 214) mention this goddess as being born in the undersea land Kahikihonuakele (wet land Kahiki), and as floating on the sea and becoming a gourd bailer—Hinaikekā (Hina in the bailer) (KL. 235). In some stories she makes tapa in the moon (HM 220). She was also called Hinahanaakamalama (Hina foster-child of the moon), the name of Queen Emma's home in Nuʻu-anu Valley, Honolulu. lit., Hina in the moon. see ʻAikanaka₃; Hema. ",ma
hinihi.ni,hinihini,"indistinct, faint, as a voice. ",ni
holelo.la,holelola,Holy Roller [disparaging and offensive term for a member of a Pentacostal sect]. ,la
holi.na,holina,"immature and inferior, as breadfruit falling prematurely. ",na
hoe.na,hoena,paddling. ,na
hoho.la,hohola,"to spread out, unfold, unfurl, as tapa, mats, clouds, wings; to extend, stretch, diffuse. ",la
hoa.na,hoana,"hone, whetstone, grindstone; to rub, grind. ",na
hola.na,holana, ,na
hoakaka.la,hoakakala,bracelet of tusks of hog or dog. ,la
holaho.la,holahola, ,la
hoalau.na,hoalauna,"neighbor, close associate or friend. ",na
hok.ua,hokua,"   • nape of the neck, shoulders (Puk. 12.34) ; 
   • main stem of a vine (Kep. 157).    ",ua
hokahok.ai,hokahokai, ,ai
hoho.lu,hoholu, ,lu
hoho.ma,hohoma, ,ma
hoe.ne,hoene,"a soft sweet sound, as of song; to sound softly, rustle, sough, as the wind ",ne
hoha.ni,hohani, ,ni
hoho.pa,hohopa,"tall, thin. ",pa
hoehoe.ne,hoehoene, ,ne
hoa.like,hoa like,companion or contemporary of equal status. ,like
hoa.moe,hoa moe,"sleeping companion, bedfellow. ",moe
hoehoe.na,hoehoena, ,na
holomoa.na,holomoana, ,na
holo.na,holona,"a running, sailing, traveling; performance. ",na
holomoku.na,holomokuna, ,na
holo.kia,holokia,"to dart, as a bird. ",kia
holoholo.na,holoholona,"a trip, excursion, ride. ",na
holoh.au,holohau,"to ice skate, ski. lit., ice run. ",au
holuho.lu,holuholu,flexible. ,lu
holok.ai,holokai,"seaman, seafarer; to sail on the sea; sea voyage or cruise. ",ai
holow.ai,holowai,water ditch or course; to run in such courses; watery. ,ai
holopa.pa,holopapa,"   • shelf, ledge, rack, 
   • frame on which tapa and other articles were laid; 
   • flooring. ",pa
holoka.ke,holokake,"not secure, loose, not tight. ",ke
holu.lu,holulu,to oppress. ,lu
homaho.ma,homahoma, ,ma
hol.ua,holua, ,ua
holom.ua,holomua,"improvement, progress. ",ua
holola.ni,hololani,mission. ,ni
holomaka.ni,holomakani,"breezy, airy. lit., wind running. ",ni
holoholoka.ke,holoholokake,"blown, as by wind. ",ke
honeh.one,honehone,melodious. ,one
hopu.na,hopuna,"grasping, seizing, taking; arrest. ",na
honekaka.la,honekakala,"honeysuckle, a low, twining shrub (Lonicera japonica), from East Asia, with shortstemmed, oval leaves and fragrant tubular flowers that open white and turn yellow. ",la
honi.na,honina, ,na
huahual.au,huahualau,"interrogation to incriminate, ensnare, or obtain information by roundabout methods, to question or quiz indirectly. ",au
honoho.no,honohono, ,no
hop.ua,hopua, ,ua
honokao.na,honokaona,Hong Kong. ,na
huah.ua,huahua,"fruitful, productive, prolific; to bear many fruits; to lay many eggs. ",ua
hope.na,hopena,"result, conclusion, sequel, ending, destiny, fate, consequence, effect, last. ",na
honiho.ni,honihoni,"to kiss or smell repeatedly, sniff. ",ni
hon.ua,honua,"suddenly, abruptly and without reason. ",ua
huala.ni,hualani,a variety of sweet potato. ,ni
honolu.lu,honolulu,"name of the capital city in the Hawaiian Islands lit., sheltered bay. ",lu
honohi.na,honohina,"wild spiderflower (Gynandropsis gynandra), a cosmopolitan tropical hairy annual weed, native to Africa, in the caper family, 30 to 90 cm high, leaves five-parted; flowers spider-like, white with a purple tinge; fruit narrow, cylindrical capsule with many seeds. ",na
huaheki.li,huahekili,"hail. lit., thunder fruit. ",li
honuho.nu,honuhonu,a game in which player and opponent sat with legs crossed and tried to unseat each other; to play this game. ,nu
hual.ua,hualua, ,ua
hua.na,huana,"gushing forth, overflow. ",na
huhu.na,huhuna,"particles, fragments. ",na
huhu.ki,huhuki,to pull hard or frequently. ,ki
huapa.la,huapala,"orange trumpet or sweetheart vine (Pyrostegia venusta syn. Bignonia venusta, B. ignea), an ornamental climber from Brazil, bearing early in the year many deep-orange flowers, hence chestnut-colored or light brown. lit. ripe fruit. ",la
huhuhu.la,huhuhula,"Hawaiian hula by many persons; to hula, of many. ",la
huhuhu.na,huhuhuna, ,na
hual.au,hualau,"a variety of banana. lit., many fruits. ",au
huamaka.ni,huamakani,"tiny, yolkless egg. lit., wind egg. ",ni
huamaila.ni,huamailani,"lit., fruit from heaven. ",ni
huhuhu.ne,huhuhune,"redup. of hunehune and hune₁,₂; fine, dainty; stripped of all property. ",ne
hue.ne,huene,"a wheezing sound, as of asthmatic persons; a prolonged shrill cry. ",ne
huhu.lu,huhulu,"bristling, tousled, as feathers, fur, body hair. ",lu
huawae.na,huawaena, ,na
huhu.li,huhuli,"to seek, turn, of many and repeatedly. ",li
huhuhu.li,huhuhuli,"to turn, seek frequently. ",li
huinawa.lu,huinawalu,octagon. ,lu
huki.ki,hukiki, ,ki
huinao.no,huinaono,hexagon. ,no
hukihu.ki,hukihuki,"   • to pull or draw frequently, or by many persons; 
   • to pull by jerks or continuously, as in the tug-of-war game (see hukihuki₃); 
   • to gather, as taro; 
   • friction, dissension. (see hukihuki₂)   ",ki
hukil.au,hukilau,"a seine; to fish with the seine. lit., pull ropes (lau). ",au
huilapala.la,huilapalala,wheelbarrow. ,la
huki.na,hukina,a pulling. ,na
huinapapala.na,huinapapalana,"raft. lit., collection of floating boards. ",na
hui.na,huina,"sum, total, amount. ",na
hukeko.na,hukekona,"Hudson, as the river or bay. ",na
huihui.ni,huihuini, ,ni
huik.au,huikau,"mixed, confused, haphazard, blurred; mix-up, confusion, jumble; to mix. ",au
huinako.lu,huinakolu,triangle. ,lu
huki.like,huki like,"to pull or work together, cooperate. ",like
hui.pa,huipa,"kind of hard, black stone used for maika stones. ",pa
hui.ni,huini,"needle-pointed, sharp-pointed. ",ni
huinakolu.like,huinakolu like,equilateral triangle. ,like
huko.pa,hukopa,hyssop. ,pa
huinali.ma,huinalima,pentagon. ,ma
huhu.ne,huhune, ,ne
huinaw.ai,huinawai,"pool, meeting place of two or more streams. ",ai
hulo.na,hulona,Huron. ,na
huli.na,hulina,"   • turning, turning place, 
   • overturning,
   • reversing, 
   • frontage. ",na
humehu.me,humehume, ,me
hulahu.la,hulahula,"ballrom dancing with partners, American dancing, ball; massed hula dancing; to dance. ",la
hulik.ua,hulikua,"ornamental comb decorated with feathers, with ornaments turned towards the back. ",ua
hulil.au,hulilau,"   • a variety of large gourd or calabash, used as receptacle for tapa or garments, or for food offerings. 
   • fig., a woman, mother, wife. ",au
hulupa.la,hulupala,"light brown, bay, as a horse. ",la
hulul.ua,hululua,hook with two barbs. ,ua
hulup.eu,hulupeu, ,eu
huli.au,huliau,"turning point, time of change. ",au
huluhu.lu,huluhulu,"body hair, hair of eyelashes, fleece (Lunk. 6.37) , wool, fur; hairy. ",lu
huleil.ua,huleilua,"intensifier of hulei; to toss and pitch, trot, swing. ",ua
hulipa.hu,hulipahu,"second mate of a vessel. lit., binnacle turner. ",hu
hume.na,humena,a girding on of a loincloth; part of the loins covered by the malo. ,na
hulipe.ua,hulipeua,greedy; a greedy person. ,ua
huliala.na,hulialana,"to remove the bitterness, especially to pour off the bitter liquid and add fresh water to the preparation of arrowroot (pia). ",na
huluma.nu,hulumanu,"tick used for mattresses and pillow covers, so called because they were stuffed with bird feathers. ",nu
hulialopa.li,hulialopali,"name of a wind at Lahaina, Maui. lit., turn to the face of the cliff. ",li
hune.one,hune one,"fine-grained sand, sand particles. ",one
ihiaka.la,ihiakala, ,la
humu.na,humuna,"sewing, seam. ",na
iho.na,ihona,"descent, incline. ",na
humuni.ki,humuniki,"pattern in pāwehe plaiting, said to consist of a continuous row of red lozenges with their lateral angles touching. ",ki
ihole.na,iholena,"a favorite and common native variety of banana, eaten raw or cooked. The fruit bunches are small, the skin thin, ripening yellow, the flesh salmonpink. (HP 115). This was one of the few bananas permitted women. Also hilahila. lit., yellow core. ",na
humuhu.mu,humuhumu,"to sew, of many or continuously. ",mu
hunahu.na,hunahuna,"fragments, particles, crumbs, scraps. ",na
hunak.ai,hunakai,"white-flowered beach morning-glory (Ipomea stolonifera; synonym, I. acetosaefolia), distributed in tropical regions, with oblong to lyre-shaped leaves, and white flowers with yellow centers. ",ai
humul.au,humulau,to embroider. ,au
hunehu.ne,hunehune,"redup. and intensification of hune₂, very fine, delicate. ",ne
humupa.pa,humupapa,"to sew to a backing, as feather leis. ",pa
ielukale.ma,ielukalema,Jerusalem. ,ma
huneka.li,hunekali,"Hungarian, Hungary. ",li
humuwi.li,humuwili,overcasting stitch; to hem. ,li
ihu.moe,ihumoe,name of a star. ,moe
ili.na,ilina,"grave, tomb, sepulcher, cemetery, mausoleum, plot in a cemetery. ",na
ipuolo.no,ipuolono,a variety of taro used as offering to the gods; it may be qualified by the terms kea and ʻulaʻula. ,no
ikipuaho.la,ikipuahola,"a pestilence said to have come in the reign of Waia, believed the same as the ʻōkuʻu disease of 1804. ",la
ika.mu,ikamu,item. ,mu
ihupa.ni,ihupani,"expert, wise person, wisdom. lit., closed nose, perhaps referring to deep diving and hence profound knowledge. ",ni
ikimak.ua,ikimakua,"a kind of stone, as used for making maika stones. ",ua
ikawaola.ni,ikawaolani,"name of a star. lit., in the mountain area occupied by gods or high chiefs. ",ni
ihui.hu,ihuihu,"rising upward, as the prow of a canoe. fig., scornful. ",hu
inai.na,inaina,"   • anger, wrath, rage, 
   • hatred, enmity (Kin. 3.15) , 
   • malice; 
   • to hate (Kin. 37.4) , abhor; 
   • moved with hatred, angry.    ",na
ina.ne,inane,Let me see! Show it to me! ,ne
ilila.ni,ililani,"unexpected rain, as from a sunny sky; to rain thus. ",ni
ikii.ki,ikiiki,"stifling heat and humidity; acute discomfort, pain, grief, suffering; to be weary, stifling, sultry, stuffy. ",ki
ikuw.ai,ikuwai,visiting place in a grass house. ,ai
inuw.ai,inuwai,"name of a sea breeze. lit., water drinking. ",ai
ipuw.ai,ipuwai,wood rollers laid under a canoe being hauled to prevent it from being scratched or damaged. ,ai
ihua.nu,ihuanu,name of an odoriferous tree or shrub. ,nu
kahihiko.lu,kahihikolu, ,lu
kae.na,kaena,"   • to boast, brag, 
   • glorify, praise; 
   • boastful, conceited, proud.    ",na
