Word,Definition
ʻāʻā₃,"demented, panic-stricken. "
ʻāʻā₄, 
ʻāʻā₅,male ʻōʻō bird. 
aʻaʻa,network of veins. 
ʻaʻaʻa,"clothlike sheath at base of coconut frond; vascular bundles in taro corm, chaff, tissue; fibrous, stringy. "
ʻaʻaʻā₁, 
ʻaʻaʻā₂, 
ʻaʻaʻaʻa, 
aʻaahi,scion or shoot of sandalwood. 
ʻaʻaahi,"bag for carrying fire-making equipment (ʻaʻa, bag, and ahi, fire). "
ʻaʻaʻaki, 
ʻaʻae,"second or third crop, as of taro; taro patch where the taro has been pulled up. "
ʻaʻaea,the sound ay that infants make in calling for attention; to make this sound. 
ʻaʻaha,"netted carrier for a calabash, made of sennit or olonā cord. More commonly called kōkō. "
ʻāahi,burning fire. 
ʻaʻahi, 
aʻahia, 
ʻaʻaho₁,"thatch purlin; rails, as in a fence. "
ʻaʻaho₂,"container, as for pia, arrowroot starch; to put pia in small packages so that it may keep sweet. "
ʻaʻahokau, 
ʻaʻahu,"   • clothing in general, garment, array, attire, costume, mantle, gown; 
   • to put on or wear clothing, especially shirt, suit, or coat; 
   • to cover or wrap, as the body with a blanket.   "
ʻaʻahua, 
ʻaʻahuā,"to speak reproachfully, contemptuously, deride, jeer; jealous challenge. "
ʻaʻahu aliʻi,"regal attire, a royal robe, a type of colored tapa worn by people of rank. "
ʻĀʻahualiʻi,"a fabulous being said to have had extraordinary strength, to have come from the center of the earth, and to have been the creator of all dwarfs. "
ʻaʻahu a poʻo,"head shield; protection for the head in war, as helmet, shield. "
aʻahuʻi,"aching veins, varicose veins. "
ʻaʻahu kaua,"armor, war garment. "
ʻaʻahuki,"tendon. lit., pulled vein. "
ʻaʻahu makaloa,a long malo or ornamented band made of the soft makaloa rush; to put on or wear this garment. 
ʻaʻahu ʻoihana piha,"full regalia, dress uniform. Lit., full professional garment. "
ʻaʻahu pāwehe,"garment made of pāwehe, patterned mat; mat made of soft material and woven in the pāwehe pattern; to put on and wear this garment. "
ʻaʻahu ʻula, 
ʻaʻai₁,"   • eating, spreading, festering, increasing, as a sore; 
   • ulcerous, cancerous, malignant; 
   • to eat away, corrode; 
   • to take bait readily, as fish; 
   • erosion.    "
ʻaʻai₂,"bright, vivid, as of contrasting colors. "
ʻaʻai₃, 
ʻaʻaia,demented. 
ʻā ʻaia,"legendary bird believed to have taken the shape of the ʻā, booby bird. "
ʻaʻaiʻanuheakāne,"legendary bird. Lit., caterpillar eater of Kāne. "
ʻaʻaʻina, 
ʻaʻaiole,"inferior, weak, said of breadfruit or fruit with a weak stem that may fall before maturity; weak object. (Kep. 93) fig., of persons dying before their time. "
ʻaʻaka₁,"   • surly, cranky, roiled, complaining, irritable, peevish, bad tempered, cantankerous, cross; 
   • severe, as labor. "
ʻaʻaka₂,"   • dry, as coral of the reef at low tide; 
   • parched, 
   • wrinkled, 
   • dry and thirsty;
   • peeling off, as the tough skin of such fish as the humuhumu after it has been in the fire; 
   • to crackle, 
   • burst, as a ripe melon. "
ʻaʻaka₃,"rocky undersea cavern. (PH 219), (Malo 26). "
ʻaʻaka₄,"wood of the naio, bastard sandalwood. "
ʻaʻaki,"redup. of ʻaki₁, to take a nip and let go, snap...
   • to nip repeatedly; a bite, nibble. 
   • to take a nip and hold on (cf. nahu, to bite with the whole mouth, and nau, to chew); 
   • fig., thick, obscure, dark, penetrating; 
   • to feel pangs, as of love or childbirth.   "
ʻaʻaki makau,"a hook nibbler, said of small fish that nibble away the bait; to nibble at a hook. "
ʻaʻako₁,repeated plucking. 
ʻaʻako₂,insatiable lust. 
ʻaʻako₃,to get into action. 
aʻa koko,"vein, blood vessel. "
aʻa kolo,"a root running horizontally that produces roots below and above; a rhizome, creeping root. "
ʻaʻakū,"name of a combination of diseases: liver complication resulting in hardening of the veins, bloody dysentery accompanied by fever. "
aʻa kūkūkū,"varicose veins. lit., raised veins. "
ʻAʻala₂,winds. 
ʻAʻala Honua,"name of a wind accompanied by rain associated with Hilo. lit., earth fragrance. "
ʻaʻalaihau,a fish (no data; perhaps a local name for one of the chaetodons). 
ʻaʻalaʻihi,young of the ʻalaʻihi fishes. 
ʻaʻalaioa,"wild, demented person; uncivilized. "
ʻaʻalakai₁,"insipid, unsavory, tasteless. "
ʻaʻalakai₂,"large, plump. "
ʻAʻala Loloa,wind name. 
ʻaʻalaʻula,"velvety-green, succulent-appearing seaweeds, one of several species of Codium. It yields a red liquid when placed in a container overnight with brine, after chopping or pounding. Both the liquid and the seaweed are well liked, being eaten plain or with other food. (KL. line 47) ʻaʻalaʻula is the common name on Kauaʻi and Maui, wāwaeʻiole elsewhere. "
aʻalele,"pulse. lit., leaping vein. "
ʻaʻali,"redup. of ʻali₁; scarred, marked, grooved; depression, groove; wattles of a fowl; slight depression under the gills of a fish. "
ʻaʻaliʻi,"native hardwood shrubs or trees (Dodonaea, all species), 30 cm to 10 m [1-33 ft] high, more or less sticky at branch tips; leaves narrow, 2 to 10 cm [¾""-4""] long; flowers small; fruit a yellow, red, or brown papery capsule about 1 cm long and with two to four wings. Fruit clusters are made into leis with their own leaves or ferns and worn in the hair. (Neal 536–7), (FS 57). symbol of independent people of Kaʻū. (Wight) "
ʻaʻaliʻi mahu, 
ʻaʻalina₁,scarred. 
ʻaʻalina₂,"large, fat, weak, as a fat person. "
ʻaʻalo, 
ʻaʻa lole,clothlike sheath at base of coconut frond; European cloth. 
aʻalolo,"nerve. lit., brain vein. "
ʻaʻalu,"ravine, small stream, valley, depression. "
ʻaʻama₁,"a large, black, edible crab (Grapsus grapsus tenuicrustatus) that runs over shore rocks. "
ʻaʻama₂,"to spread and relax, as the fingers. [The ʻaʻama crab was offered in sacrifices so that the gods would loosen (aʻama) and grant the request.] "
ʻaʻama₃, 
ʻaʻā maka,"to stare or glare with wide-open eyes, as in desire, fear, or intent to frighten; one who does so. "
ʻaʻa manu,coconut-leaf or pandanus-leaf bag used for carrying birds. 
ʻaʻamo, 
aʻa moku,broken blood vessel. 
ʻaʻa moni,purse. (Bib.) 
ʻaʻamoʻo₁,"young clothlike sheath at base of coconut frond; gauze, as of a veil; diaphanous cloth. lit., ʻaʻa portion. "
ʻaʻamoʻo₂,"snakeskin; slime, as on fresh water. lit., lizard ʻaʻa. "
ʻaʻana,"to use abusive language, revile, malign. "
ʻaʻanai, 
ʻaʻanaliʻi, 
ʻaʻanapuʻu, 
ʻaʻanema,to criticize maliciously; malign. 
ʻaʻa niu,clothlike sheath at base of coconut frond. 
ʻaʻano₁,"overbearing, arrogant, bold, defiant, daring; bully. "
ʻaʻao₁,"greedy, voracious. "
ʻaʻao₂,uncultivated bananas. 
ʻaʻao hoʻokahi, 
ʻaʻapa, 
aʻapau,valve of a vein. 
ʻaʻā pele,"ʻaʻā lava or flow, volcanic. "
ʻaʻapi,"warped, curved. "
ʻaʻapo,"to learn quickly, to catch the meaning quickly, apt. "
aʻapū, 
ʻaʻapu₁,coconut-shell cup; cuplike. 
ʻaʻapu₂,"to warp, bend, ruffle. "
ʻaʻa pua,"arrow case, quiver. "
aʻa pūhaka,"girdle, belt. lit., loin belt. "
aʻa puʻupuʻu₁,capsular ligament. 
aʻa puʻupuʻu₂,knots in a fish net. 
ʻaʻā puʻupuʻu,"sharp or waterworn, coarse gravel or rock. "
ʻaʻapuwai, 
ʻaʻau₁,"to move here and there, wander, rove; to ripple, as the sea. "
ʻaʻau₂, 
ʻāʻaua,"coarse, as wrinkled or blotched skin; lean, as fish. "
ʻaʻawa₁,"wrasse fishes, Hawaiian hogfish (Bodianus bilunulatus), considered ʻaumākua by some. The name ʻaʻawa may be qualified by the terms ʻeʻa, hai ʻeʻa, lelo, ule holu (pliable penis). "
ʻaʻawa₂, 
ʻaʻawa₃,name given for an insect that destroys potatoes. 
ʻaʻawa hua kukui,"a native tree (Pittosporum hosmeri and its varieties), about 6 m high, with leaves 10 to 25 cm by 1.5 to 6 cm, shiny and wrinkled above, brown-wooly beneath; small, clustered, cream-colored flowers; ovoid fruits about 5 cm long, each with two to four thick valves containing orange pulp and black oily seeds. "
ʻaʻawe, 
aʻe₁,"several native trees, the soapberry (Sapindus saponaria f. inaequalis), and all species of Zanthoxylum (also known as Fagara, Zanthoxylum having yellowish wood formerly used for digging sticks and spears); seeds of all (largest in the soapberry) are black, round, and used for leis. "
Aʻe₂,northeast tradewind. 
aʻe₃,blight. 
aʻe₅,"replacement of e in songs (commonly written a e, but a glottal stop is pronounced before ʻe). "
aʻe₆,"Maui name for maua₂, trees. "
ʻae₂,"   • sap wrung from seaweed or leaves of plants such as taro;    • liquid remaining after dregs have settled, as of pia, arrowroot starch;    • saliva, drooling of the mouth. "
ʻae₃,"   • fine, mashed, comminuted, as dust or powder; 
   • silky soft, as down; 
   • smooth, as well-mixed poi or bread dough. "
ʻae₄,"to rise, of the tide. "
ʻae₅,"a native fern (Polypodium pellucidum) commonly seen at Kīlauea Volcano. It has oblong fronds 15 to 40 cm long, once divided into about fifteen or more pairs of oblong segments, each of which bears many round fruit dots. "
ʻae₆, 
ʻae₇,shoots from main root portion of the wauke plant. 
ʻae₈, 
ʻaʻe,"   • to step over, get on top of, tread upon, 
   • trespass; 
   • to get into by stepping up, as into a car; step. 
   • to raise; 
   • to massage the back with the feet; 
   • to break a taboo or violate a law; 
   • counter sorcery; to inflict sorcery on a sorcerer; 
   • fig., oppressed.   "
aea,to rise up; to raise the head; to come up from under water. 
ʻaea,"cord, as used in joining two or more nets into a larger one. "
ʻaeʻa,"   • wandering, to wander, 
   • shiftless, 
   • unstable; 
   • stray; 
   • tramp.    "
ʻaʻea, 
aeae₁,"   • a prolonged sound, 
   • wail; 
   • to prolong, 
   • stretch. "
aeae₂,andante. 
aʻeaʻe₁,"mixing of a dark or brilliant color with a lighter one, as feathers in a lei; of dark hair of a young person with streaks of gray; to mix, as drinks. "
aʻeaʻe₂,a kind of banana with green and white striped leaves and fruits. 
aʻeaʻe₃,a fish (no data). 
ʻaeʻae₁, 
ʻaeʻae₂,"a small native shrub (Lycium sandwicense) growing near salt marshes and among rocks near the sea. It has light-colored bark; succulent, narrow pale-green leaves about 2.6 cm long; small white to blue-tinted flowers; and small red berries. "
ʻaeʻae₃,"water hyssop, a succulent herb (Bacopa monnieria). Niʻihau cf. (Neal 759). "
ʻaeʻae₄, 
ʻaʻeʻaʻe, 
aeāea,"a small green fish resembling the hīnālea, used as pani (food or drink taken to finish a medical treatment) for certain diseases of children of the ʻea type. "
ʻAeʻaeahiwa,name of a star (no data). 
ʻaeʻa haukaʻe₁, 
ʻaeʻa haukaʻe₂,"a variety of wild sweet potato, good only as pig food. "
ʻaʻei,"fine net, as used for ʻōpelu and maomao fish; it was held open at the mouth by kuku, stretching poles. "
āēīē,chant refrain. 
āēī eia,chant ending. 
ʻaʻe kaʻa,"a step, as on a carriage; running board of an automobile. "
ʻae kai,place where sea and land meet; water's edge. 
ʻaekai mokiha,ancient type of tapa (no data). 
ʻaekelona,"falcon, vulture. "
ʻaeko₁,eagle. 
ʻaeko₂,alto. 
ʻaeko kula,golden eagle. 
aʻela,directional part. aʻe + demon. lā. 
ʻae lau nui, 
ʻaelike,"agreement, contract, truce, accord, deal; to come to an agreement; contracted. "
āelo,"rotten, of eggs that do not hatch due to infertility. fig., spoiled, worthless. "
Aʻe Loa,"name for the trade wind. see ex., kiʻekiʻe. "
aʻe nei,"just now, lately; nearby, not far; ordinary, insignificant. "
aeʻo₁,stilts. 
aeʻo₂,"Hawaiian stilt bird (Himantopus mexicanus knudseni), an endemic subspecies of stilt, formerly common on the main Hawaiian Islands, endangered. "
aeʻo₃, 
ʻae o hope,train of a dress (origin uncertain). 
ʻaeʻoia,to be well supplied with comforts and necessities. 
ʻaeokahaloa,"a kind of fine tapa, used in kuni and other ceremonies, as for divining with pebbles. "
ʻae one,sandy beach. 
āewa₁,"   • thin, tall spindly; 
   • to weave to and fro, as seaweed; 
   • to sway, as a branch or sea eddy.   "
āewa₂,possessing a family or lineage. 
āhā,aha (exclamation of surprise). 
ʻaha₁,"meeting, assembly, gathering, convention, court, party. Many types of ʻaha are listed below. "
ʻaha₂,"   • sennit; 
   • cord braided of coconut husk, human hair, intestines of animals; 
   • string for a musical instrument; 
   • to stretch the ʻaha cord for the outline of a house so that the posts may be properly placed; 
   • measurement of an edge or border.   "
ʻaha₃,a prayer or service whose efficacy depended on recitation under taboo and without interruption. The priest was said to carry a cord (ʻaha). 
ʻaha₄,"millepede, so called because it coils itself up like a string. "
ʻaha₅,"any of the needlefishes of the family Belonidae. The young are called ʻahaʻaha. Varieties are qualified by the terms holowī, mele, and uliuli. "
ʻaha₆,"design supposed to resemble the continuing track of a duck, carved on tapa beaters. "
ʻahā,four (usually in counting in series): four times. 
ahaaha,"to pant, to breathe hard with heat, as a dog. "
ʻahaʻaha₁,cordage. 
ʻahaʻaha₂,"to sit with back stiff and upright, arms akimbo, head up, as with haughty air of superiority; to sit cross-legged; to stand with hands on hips (considered rude and overbearing). "
ʻahaʻaha₃,"young of the ʻaha, a fish. "
ʻAhaʻaina a ka Haku,"Holy Communion, Lord's Supper; feast of the Lord. "
ʻahaʻaina hepekoma,Feast of weeks. 
ʻahaʻaina hoʻolaʻa,"feast of consecration or dedication, as of a house, church, canoe, or fish net. "
ʻahaʻaina hoʻolilo,feast of dedication. 
ʻahaʻaina hoʻomanaʻo,commemorative or anniversary feast. 
ʻahaʻaina kahe,feast given at the time of a boy's subincision. Called in Christian times ʻahaʻaina ʻoki poepoe. 
ʻahaʻaina kahukahu,"feast given at the completion of a student's first work (as mat, quilt, tapa, net), or of a child's first fish catch; one purpose was to ask the gods to grant greater knowledge and skill to the craftsman. lit., feast to care for. "
ʻahaʻaina kala hala,"feast given to ask pardon of the gods. lit., feast to forgive sins. "
ʻAhaʻaina Kauhalelewa,Feast of Tabernacles. (Bib.) 
ʻahaʻaina komo,initiation feast. 
ʻahaʻaina laulima,"feast held after completion of a joint project or cooperative undertaking, especially harvest. "
ʻahaʻaina lima luhi, 
ʻahaʻaina maka luhi,"feast given to honor those who prepared the feast and served, the workers being served by those who had celebrated before; also a feast to celebrate completion of a particularly laborious project. lit., feast for tired persons. "
ʻahaʻaina make,"funeral feast, intended to comfort the mourners. "
ʻahaʻaina male,wedding feast or reception. 
ʻahaʻaina māwaewae,"feast given shortly after the birth of the first child, intended to clear the way (māwaewae) of misfortune for that child and for all others to follow. "
ʻAhaʻaina Mōliaola,Feast of the Passover. (Bib.) 
ʻAhaʻaina Pelena,"Holy Communion. lit., feast of bread. "
ʻahaʻaina piha makahiki,"feast on the first birthday of a child, or to celebrate any anniversary. lit., feast for completion of the year. "
ʻahaʻaina pī wai,"feast given principally to break the monotony of country life; those instigating the feast would sprinkle (pī wai) their friends with a little water; those sprinkled brought food to the feast or, later, gifts of coins. "
ʻahaʻaina ʻūniki,"graduation feast, as for hula dancing or lua fighting. "
ʻahaʻaina waimaka,"feast of tears, held on the first anniversary of a death, a happy occasion, as the death by this time has been accepted by the family. "
ʻahaana,"design said to resemble duck tracks, carved on tapa beaters. "
ʻaha ʻāpana,district court. 
ʻaha ʻelele,convention of delegates; name for American presidential conventions. 
ahāhā, 
ahahana₁,"syllables repeated in chants, usually at ends of verses, similar to ēhē; also ahana and ahana kōkō lele, both meaningless. "
ahahana₂,"a taunting singsong teasing phrase, used especially by children, meaning ""Oh! Oh! Aha! Shame on you! You are going to catch it!""; as a verb, to tease. "
ʻaha hāwele,cord support for gourd water bottles. 
ʻaha hele honua,"ceremonial measuring of the dimensions of a mana house within a place of worship; a priest carried a line to the four corner posts of the mana, and the chief sacrificed a pig; name of the line. "
ʻaha hīmeni,"song festival, concert. "
ʻaha hōʻike makahiki,"annual meeting of Sunday Schools, as of Congregationalists. "
ʻaha hoʻokō,executive council. 
ʻaha hoʻokō kauoha,probate court. 
ʻaha hoʻokolokolo,general name for court assembly. Names of several types of courts are listed below. 
ʻaha hoʻokolokolo ʻāpana,district court. 
ʻaha hoʻokolokolo hoʻomalu,police court. 
ʻaha hoʻokolokolo kaʻapuni,circuit court. 
ʻaha hoʻokolokolo kākau,"old name for ʻaha kākau, court of records. "
ʻAha Hoʻokolokolo Kiʻekiʻe,Supreme Court. 
ʻaha hoʻokolokolo koa,"military court, court martial. "
ʻaha hoʻokolokolo koʻikoʻi,superior court. 
ʻaha hoʻokolokolo malalo iho,lower court. 
ʻaha hoʻomalu,"administrative body, assembly. "
ʻaha hoʻoponopono i ka nohona,court of domestic relations. 
ʻaha hoʻoponopono waiwai hoʻoilina,"probate court. Lit., court settling inheritance property. "
ʻahahui,"society, club, association, organization, company, convention. Various types are listed below. "
ʻAhahui ʻEuanelio Pae ʻĀina,a term used in 1911 for evangelical conference of all the islands. 
ʻAhahui Hōʻikaika Kalikiano,Christian Endeavor Society. 
ʻahahui hoʻole wai ʻona,"Temperance union. Lit., society forbidding intoxicating liquor. "
ʻahahui ʻimi naʻauao,"academy, learned society. "
ʻAhahui Kanu Kō Hawaiʻi,Hawaiian Sugar Planters' Association. 
ʻahahui kula Kāpaki,Sunday School association. 
ʻahahui malū,secret society. 
ʻAhahui Māmakakaua,"Sons and Daughters of Hawaiian Warriors. Lit., warriors' society. "
ʻAhahui Moʻolelo Hawaiʻi,Hawaiian Historical Society. 
ʻahahuina₁,"corporation, association. "
ʻAhahuina₂,congregational. 
ʻAhahui Wāhine Kalikiano Hōʻole Wai ʻOna,Women's Christian Temperance Union. 
ʻaha hulahula₁,assembly for ballroom dancing; a ball. 
ʻaha hulahula₂,ancient assembly for the hulahula religious ceremony. 
ʻahahuluhulu,"bristle worm, a hairy sea creature (Eurythoe complanata). "
ʻāhai,"commemorative wooden or stone pillar (probably short for ʻā hailona, symbolic stone). "
ʻāhaʻi₁,"   • to carry off,    • chase,    • rout;    • to flee, run away.   "
ʻāhaʻihaʻi, 
ʻāhaʻikapupuhi,"to go with the wind, to disappear completely. "
ʻaha iki,"small gathering for private conversation; small or secret council, as called in an emergency. "
ʻāhaʻilono,"   • reporter, messenger, bringer of news; 
   • to tell news.
   • in legends, the sole survivor of a disastrous defeat who reports the news.   "
ahaʻina,short for aha ʻia ana. 
ʻāhaʻina, 
ʻaha inu,"drinking party, as: "
ʻāhaʻi ʻōlelo,messenger; to carry word. 
ʻaha kaʻapuni,Circuit court. 
ʻaha kākau,court of records. 
ʻaha kapu₁,a sacred assembly. 
ʻaha kapu₂,"sacred sennit cord belonging to a high chief and kept on a high place before his house; trespassers entering the house were killed if the cord remained in place, but if it fell down and the stranger stepped over it, this was a token of the stranger's high rank or kinship with the owner of the cord. Some chiefs had several such cords, each given a name, and some were used after the owner's death in making the kāʻai, container for his bones. "
ʻaha kau kānāwai,session of the legislature. 
ʻaha kaulike,an 1854 name for the highest court. 
ʻaha kauoha,probate court. 
ʻahakea₁,"native trees (species of Bobea) with small to medium-sized, oblong leaves; small greenish or white flowers; and small, purple-to-black juicy fruits. The wood is yellow and formerly was used for poi boards and canoe rims. "
ʻahakea₂, 
ʻahakea lau liʻi,a small-leafed ʻahakea (Bobea elatior var. brevipes). 
ʻahakea lau nui,a large-leafted ʻahakea (Bobea elatior). 
ʻaha kenekoa,senate. 
ʻAha Kiʻekiʻe,Supreme Court. 
ʻaha kiule kiʻekiʻe,grand jury. 
ʻAha Koʻikoʻi,"lit., powerful court. "
ʻahakū,"cord used for measuring, as in laying out a garden or house. "
ʻaha kuhina,"cabinet, assembly of ministers. "
ʻaha kūkā,"council meeting, discussion meeting, advisory council, conference. "
ʻaha kūkā malū,"privy council, secret deliberative meeting. "
ʻaha limalima, 
ʻahalualike,"rectangle. lit., two equal sides. "
ʻaha lunakahiko,"Presbytery, meeting of elders. "
ʻaha lunakānāwai,"judiciary session, meeting of judges. "
ʻaha maha,"place or assembly for practice of athletic games, as sham fights. lit., assembly for relaxation. "
ʻahamaka₁,"hammock, as of tapa, fastened to the manuea, center support of a house; hammock in general. lit., sennit meshes. "
ʻahamaka₂,cord with which edges of cracks in gourd bowls were sewn together in crisscross patterns suggestive of net mesh; the technique for such repair. 
ʻahamaka₃,"strangling in lua fighting, as with green vines. "
ʻahamaka₄,secret meeting of priests to pray for a chief. 
ʻahamele,a yellow-spotted needlefish. 
ʻaha mele,"concert, song concert, song festival. "
ʻahamoa₁,an assembly watching a lua contest of the kind called hakakāamoa. 
ʻahamoa₂,a cord made from the entrails of an enemy killed in a lua fight of the hakakāamoa type. 
ʻaha mokupuni,"island conference, with representative from a single island, especially of Congregationalists. "
ahana, 
ʻaha nīele,"inquisition, inquest. "
ʻaha ninaninau,court of inquiry. 
ʻahaniu,"a native sedge (Machaerina mariscoides subsp. meyenii) with pointed, leathery leaves about 90 by 1.6 cm, mostly basal around a more or less zigzag spike, which bears light-brown scattered flower clusters. see also ʻuki, all species of Cladium and Machaerina. "
ʻahao, 
ʻahaʻōlelo,"legislature, assembly, council meeting, congress; to hold such meetings; to serve in the legislature. "
ʻahaʻōlelo kau kānāwai,"Legislature, lawmaking body. "
ʻahaʻōlelo lāhui,Congress of the United States; national assembly. 
ʻahaʻōlelo lunakahiko,conference of elders. 
ʻahaʻōlelo nui,Congress. 
ʻaha o nā lunakānāwai ʻāpana,District court. 
ʻaha paeʻāina,"convention of delegates from all the islands, especially as held by the Hawaiian Evangelical Association of Congregational Christian Churches. "
ʻahapiʻi,"a kind of tapa dyed with kukui bark and decorated with fine lines, for chiefs. "
ʻaha pule,"congregation, prayer assembly. "
ʻaha ʻuao,board of arbitration. 
ʻaha ʻula,"council of chiefs. lit., regal meeting. "
ʻahawa,"waterhead, beginning of a water-course; to overflow. "
ahe,breeze; to blow or breathe gently. waft; softly blowing. 
āhē,"to exclaim, to oh and ah; yes, so that's it, so, oh. "
ʻahē,a hacking cough; to cough. Also ʻehē. 
ʻāhē₁,"timid, shy, wary. "
ʻāhē₂,wild taro. Kauaʻi. Varieties are qualified by the colors keʻokeʻo and ʻulaʻula. Called ʻāweu on Hawaiʻi. 
āhea₁, 
ʻahea, 
aheahe₁,"soft, gentle in sound. "
aheahe₂,weak. 
ʻahēʻahē, 
ʻāheahea₁,"to wilt, as a plant; warm, insipid. "
ʻāheahea₂,"a native shrub (Chenopodium oahuense) and an introduced weedy herb (C. album), both with narrow to triangular or rhomboidal, thickish leaves; flowers small, in panicles. Young plants, leaves, and plant tips are used for greens, wrapped in ti leaves and cooked on hot coals. Also ʻahea, ʻāhewahewa, alaweo; alaweo huna (Niʻihau), ʻāweoweo. "
ʻāheahea₃,"var. name for pakai₂, slender amaranth (Amaranthus viridis)... "
ʻāheahea₄, 
ʻahele,snare; to snare. 
ʻāhewa₁,"   • to condemn, condemnation, 
   • to blame, blame, 
   • to censure, reproach, 
   • to convict; conviction. "
ʻāhewa₂,"wall-eyed, cross-eyed (with maka). "
ʻāhewa₃,Oʻahu name for the mānā fern. 
ʻāhewa₄,a mimosa tree. 
ʻāhewahewa, 
ʻahi,"Hawaiian tuna fishes, especially the yellow-fin tuna (Thunnus albacares), an important fish in the Honolulu market. The name ʻahimay be qualified by the terms hiʻu wīwī (thin tail) or kaʻakaʻalāʻau (dark stripe), kaha uli, kananā (young stage, lit., the defiant one; cf. he aha sananā), kihikihi or ʻōpū hemo (loose belly), lepalepa, maha ʻōʻō (piercing brow), mālailena, maoli, pālaha, and poʻo nui (large head). "
ahia,faded. 
ʻahia₁, 
ʻahia₂,how many? 
ʻāhia,tinder resulting from plowing with the fire plow; the powdery rubbings that ignite. 
